"data";"ragionesociale";"descrdestinazione";"descrclasse";"insegnante";"descrgruppo";"descrpiatto";"presenze";"qtaavanzata";"percavanzata";"tipo"
"11/10/2021 00:00:00";"Comune di Barberino Del Mugello";"El Magnifico Cavallina";"1D";"Zanzarella";"Contorni";"finocchi e carote in pinzimonio";"13";"7";"53,85";"1"
"11/10/2021 00:00:00";"Comune di Barberino Del Mugello";"El Magnifico Cavallina";"1D";"Zanzarella";"Primi";"Passato di verdure con orzo";"13";"8";"61,54";"1"
"11/10/2021 00:00:00";"Comune di Barberino Del Mugello";"El Magnifico Cavallina";"1D";"Zanzarella";"Secondi";"mozzarella";"13";"1";"7,69";"1"
"11/10/2021 00:00:00";"Comune di Barberino Del Mugello";"El Magnifico Cavallina";"5C";"Gabriella";"Contorni";"finocchi e carote in pinzimonio";"6";"1";"16,67";"1"
"11/10/2021 00:00:00";"Comune di Barberino Del Mugello";"El Magnifico Cavallina";"5C";"Gabriella";"Primi";"Passato di verdure con orzo";"6";"1";"16,67";"1"
"11/10/2021 00:00:00";"Comune di Barberino Del Mugello";"El Magnifico Cavallina";"5C";"Gabriella";"Secondi";"mozzarella";"6";"0";"0,00";"1"
"11/10/2021 00:00:00";"Comune di Barberino Del Mugello";"EL.Mazzini 1 - Barberino";"1A";" Scalese";"Contorni";"finocchi e carote in pinzimonio";"18";"15";"83,33";"1"
"11/10/2021 00:00:00";"Comune di Barberino Del Mugello";"EL.Mazzini 1 - Barberino";"1A";" Scalese";"Primi";"Passato di verdure con orzo";"18";"4";"22,22";"1"
"11/10/2021 00:00:00";"Comune di Barberino Del Mugello";"EL.Mazzini 1 - Barberino";"1A";" Scalese";"Secondi";"mozzarella";"18";"4";"22,22";"1"
"11/10/2021 00:00:00";"Comune di Barberino Del Mugello";"EL.Mazzini 1 - Barberino";"3A";"Boh";"Contorni";"finocchi e carote in pinzimonio";"17";"14";"82,35";"1"
"11/10/2021 00:00:00";"Comune di Barberino Del Mugello";"EL.Mazzini 1 - Barberino";"3A";"Boh";"Primi";"Passato di verdure con orzo";"17";"6";"35,29";"1"
"11/10/2021 00:00:00";"Comune di Barberino Del Mugello";"EL.Mazzini 1 - Barberino";"3A";"Boh";"Secondi";"mozzarella";"17";"6";"35,29";"1"
