data;ragionesociale;descrdestinazione;descrclasse;insegnante;descrgruppo;descrpiatto;presenze;qtaavanzata;percavanzata;tipo
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;3A;pugliese;Frutta;Frutta;24;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;3A;pugliese;Primi;casarecce al pesto di cavolo nero;24;7;29;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 1;3A;pugliese;Secondi;frittata;24;10;41;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;1A;caciagli;Contorni;insalata mista;25;20;80;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;1A;caciagli;Form. grat.;F- parmigiano reggiano grattugiato;25;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;1A;caciagli;Forneria;F- pane fette;25;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;1A;caciagli;Frutta;Frutta;25;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;1A;caciagli;Primi;casarecce al pesto di cavolo nero;25;10;40;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;1A;caciagli;Secondi;frittata;25;10;40;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;4A;amadori;Contorni;insalata mista;27;18;66;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;4A;amadori;Form. grat.;F- parmigiano reggiano grattugiato;27;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;4A;amadori;Forneria;F- pane fette;27;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;4A;amadori;Frutta;Frutta;27;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;4A;amadori;Primi;casarecce al pesto di cavolo nero;27;3;11;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;4A;amadori;Secondi;frittata;27;12;44;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;4B;rossi;Contorni;insalata mista;22;15;68;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;4B;rossi;Form. grat.;F- parmigiano reggiano grattugiato;22;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;4B;rossi;Forneria;F- pane fette;22;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;4B;rossi;Frutta;Frutta;22;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;4B;rossi;Primi;casarecce al pesto di cavolo nero;22;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;4B;rossi;Secondi;frittata;22;10;45;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;4C;somigli;Contorni;insalata mista;23;10;43;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;4C;somigli;Form. grat.;F- parmigiano reggiano grattugiato;23;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;4C;somigli;Forneria;F- pane fette;23;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;4C;somigli;Frutta;Frutta;23;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;4C;somigli;Primi;casarecce al pesto di cavolo nero;23;5;21;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;4C;somigli;Secondi;frittata;23;5;21;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;5A;zagardo;Contorni;insalata mista;22;20;90;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;5A;zagardo;Form. grat.;F- parmigiano reggiano grattugiato;22;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;5A;zagardo;Forneria;F- pane fette;22;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;5A;zagardo;Frutta;Frutta;22;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;5A;zagardo;Primi;casarecce al pesto di cavolo nero;22;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;5A;zagardo;Secondi;frittata;22;10;45;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;5B;papini;Contorni;insalata mista;19;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;5B;papini;Form. grat.;F- parmigiano reggiano grattugiato;19;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;5B;papini;Forneria;F- pane fette;19;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;5B;papini;Frutta;Frutta;19;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;5B;papini;Primi;casarecce al pesto di cavolo nero;19;10;52;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;5B;papini;Secondi;frittata;19;20;105;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;5C;somigli;Contorni;insalata mista;23;20;86;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;5C;somigli;Form. grat.;F- parmigiano reggiano grattugiato;23;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;5C;somigli;Forneria;F- pane fette;23;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;5C;somigli;Frutta;Frutta;23;0;0;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;5C;somigli;Primi;casarecce al pesto di cavolo nero;23;5;21;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. FRA RISTORO 2;5C;somigli;Secondi;frittata;23;8;34;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. L. IL MAGNIFICO 1;1B;carmela;Contorni;insalata mista;25;12;48;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. L. IL MAGNIFICO 1;1B;carmela;Primi;casarecce al pesto di cavolo nero;25;3;12;1
01/02/2019 00:00;Comune di Campi Bisenzio;EL. L. IL MAGNIFICO 1;1B;carmela;Secondi;frittata;25;5;20;1
